activities,0,0.0
personal information,0,0.0
compliment,0,0.0
relationship,0,0.0
reframing,3,0.010416666666666666
communicative desensitization,24,0.08333333333333333
isolation,7,0.024305555555555556
approach,25,0.08680555555555555
deceptive trust development,5,0.017361111111111112
family,0,0.0
friendship,0,0.0
romantic,0,0.0
activities,5,0.017361111111111112
personal information,13,0.04513888888888889
compliment,5,0.017361111111111112
relationship,0,0.0
reframing,3,0.010416666666666666
communicative desensitization,24,0.08333333333333333
isolation,7,0.024305555555555556
approach,25,0.08680555555555555
